x,y,z
0.627825,0.126746,-0.235832
0.626034,0.140247,-0.234341
0.629389,0.155076,-0.23703
0.635557,0.170948,-0.242002
0.622854,0.188567,-0.231633
0.626289,0.207616,-0.234375
0.630823,0.231186,-0.237999
0.632464,0.257987,-0.239264
0.63024,0.287495,-0.237381
0.630024,0.318629,-0.237125
0.630263,0.350907,-0.237236
0.629567,0.387863,-0.236575
0.517499,0.329686,-0.145638
0.422251,0.268564,-0.06838
0.376783,0.240227,-0.031498
0.358871,0.230344,-0.016965
0.354678,0.22982,-0.013559
0.35651,0.235926,-0.015032
0.354461,0.246652,-0.013339
0.364329,0.256622,-0.021334
0.381475,0.272339,-0.035229
0.492361,0.360962,-0.125126
0.620575,0.464857,-0.229068
0.631683,0.511574,-0.237976
0.63142,0.57177,-0.237607
0.640314,0.629313,-0.244687
0.634324,0.693005,-0.239655
0.635131,0.76395,-0.240128
0.594651,0.757995,-0.207242
0.61926,0.855534,-0.226992
0.635766,0.951981,-0.24016
0.634533,1.04861,-0.238909
0.63655,1.15366,-0.240277
0.625197,1.2701,-0.230749
0.56916,1.19778,-0.18539
0.541613,1.19608,-0.163005
0.424281,0.933207,-0.068318
0.361407,0.793883,-0.017574
0.345473,0.764029,-0.0047
0.336316,0.74991,0.002706
0.328347,0.73836,0.009153
0.324411,0.736496,0.012348
0.320849,0.735491,0.01524
0.315511,0.737869,0.019585
0.313012,0.739482,0.02162
0.308444,0.735698,0.025323
0.301863,0.726481,0.030648
0.294674,0.715403,0.036463
0.279532,0.682589,0.048685
0.259311,0.635144,0.064998
0.250259,0.617403,0.072309
0.240141,0.610167,0.080515
0.229278,0.599945,0.089317
0.215953,0.581162,0.100099
0.225176,0.648685,0.092777
0.251848,0.785475,0.071451
0.31331,1.01325,0.022083
0.309879,1.01485,0.024876
0.371885,1.25403,-0.024904
0.367944,1.27488,-0.021648
0.363626,1.27677,-0.018133
0.359302,1.27865,-0.014614
0.352292,1.27005,-0.008938
0.34799,1.27186,-0.005438
0.343683,1.27365,-0.001932
0.34054,1.28018,0.000639
0.336204,1.28192,0.004168
0.331863,1.28364,0.007701
0.327067,1.28342,0.011598
0.322058,1.28221,0.015666
0.315755,1.27521,0.020771
0.311437,1.27682,0.024285
0.305845,1.27262,0.028819
0.301535,1.27417,0.032326
0.297015,1.27473,0.036001
0.292094,1.27333,0.039998
0.284049,1.27916,0.046551
0.276135,1.28587,0.053001
0.265966,1.28083,0.061253
0.256936,1.28151,0.068594
0.247747,1.2811,0.076062
0.234878,1.28568,0.086533
0.220466,1.28022,0.098233
0.20745,1.28335,0.10882
0.194016,1.28331,0.119739
0.176038,1.2819,0.134347
0.154475,1.20402,0.151673
0.138712,1.16932,0.164395
0.123516,1.17959,0.176772
0.110808,1.22938,0.187229
0.099032,1.17443,0.196659
0.086429,1.16256,0.206872
0.076599,1.21138,0.214987
0.065413,1.24807,0.224173
0.055058,1.17048,0.23239
0.046972,1.16174,0.238939
0.039115,1.16291,0.245328
0.035178,1.16296,0.248529
0.031362,1.19299,0.251707
0.027354,1.237,0.255079
0.023165,1.23698,0.258483
0.018977,1.23694,0.261887
0.014987,1.21588,0.265076
0.011345,1.1788,0.26794
0.007484,1.1707,0.271057
0.003736,1.15958,0.274075
-0.00019,1.15943,0.277266
-0.004301,1.16626,0.280625
-0.008369,1.17006,0.283941
-0.012496,1.17484,0.287308
-0.018447,1.22854,0.292283
-0.023205,1.24324,0.296188
-0.027415,1.24294,0.299609
-0.031623,1.24262,0.303028
-0.036243,1.17108,0.306599
-0.040151,1.16971,0.309772
-0.047753,1.16392,0.315935
-0.055844,1.16601,0.322517
-0.062002,1.19538,0.327598
-0.070288,1.24959,0.334472
-0.078747,1.24843,0.341345
-0.087377,1.16153,0.348135
-0.100134,1.16839,0.358521
